file name: (x, y, w, h)
benign (355), (115, 100, 360, 100)
benign (338), (305, 31, 129, 74)
benign (281), (380, 0, 99, 129)
benign (250), (180, 196, 97, 82)
benign (101), (422, 167, 140, 64)
benign (22), (221, 197, 115, 82)
benign (360), (364, 79, 137, 116)
benign (221), (521, 142, 88, 87)
benign (6), (296, 95, 121, 81)
benign (302), (60, 245, 159, 144)
benign (163), (197, 146, 335, 108)
benign (153), (416, 97, 141, 98)
benign (84), (368, 267, 257, 62)
benign (368), (162, 98, 134, 96)
benign (382), (0, 71, 443, 149)
benign (164), (149, 65, 256, 119)
benign (380), (268, 149, 170, 90)
benign (402), (405, 60, 91, 97)
benign (3), (338, 139, 95, 91)
benign (174), (101, 116, 227, 117)
benign (197), (187, 118, 167, 57)
benign (427), (327, 129, 197, 53)
benign (30), (151, 56, 118, 74)
benign (74), (391, 115, 169, 72)
benign (320), (336, 140, 99, 90)
benign (104), (582, 55, 194, 102)
benign (242), (101, 205, 97, 143)
benign (413), (0, 0, 432, 104)
benign (395), (0, 142, 614, 113)
benign (124), (261, 146, 122, 112)
benign (222), (185, 143, 118, 80)
benign (125), (229, 165, 136, 147)
benign (220), (359, 114, 175, 62)
benign (333), (331, 152, 165, 114)
benign (405), (0, 0, 190, 36)
benign (418), (0, 106, 299, 80)
benign (430), (225, 86, 176, 100)
benign (310), (291, 0, 158, 93)
benign (63), (281, 211, 116, 120)
benign (52), (69, 42, 202, 239)
benign (166), (293, 118, 115, 108)
benign (253), (227, 92, 105, 66)
benign (358), (190, 122, 199, 54)
benign (56), (195, 170, 216, 94)
benign (210), (0, 329, 136, 86)
benign (8), (257, 160, 126, 113)
benign (329), (289, 155, 161, 108)
benign (45), (181, 153, 204, 134)
benign (133), (170, 105, 198, 53)
benign (280), (226, 168, 139, 81)
benign (2), (138, 207, 126, 81)
benign (347), (153, 92, 150, 89)
benign (416), (163, 0, 152, 138)
benign (293), (82, 326, 111, 62)
benign (251), (225, 42, 107, 77)
benign (372), (159, 70, 155, 135)
benign (10), (0, 160, 215, 124)
benign (276), (152, 52, 114, 105)
benign (169), (0, 131, 168, 154)
benign (100), (34, 119, 244, 73)
benign (82), (338, 213, 128, 70)
benign (11), (332, 103, 155, 103)
benign (259), (197, 112, 88, 88)
benign (170), (336, 145, 103, 93)
benign (371), (391, 114, 199, 93)
benign (34), (0, 118, 318, 206)
benign (202), (90, 0, 461, 233)
benign (176), (207, 121, 163, 87)
benign (352), (305, 0, 105, 115)
benign (182), (288, 65, 119, 105)
benign (50), (204, 158, 142, 118)
benign (181), (272, 131, 237, 132)
benign (398), (0, 0, 182, 37)
benign (409), (123, 374, 125, 91)
benign (339), (161, 85, 248, 178)
benign (274), (65, 114, 227, 66)
benign (137), (114, 196, 159, 110)
benign (284), (339, 81, 111, 88)
benign (359), (216, 113, 127, 70)
benign (32), (188, 116, 267, 175)
benign (296), (146, 44, 174, 63)
benign (304), (0, 270, 45, 92)
benign (232), (157, 0, 251, 117)
benign (307), (134, 95, 152, 96)
benign (15), (207, 110, 147, 81)
benign (146), (115, 67, 85, 136)
benign (23), (360, 246, 163, 126)
benign (189), (None, None, None, None)
benign (88), (690, 170, 182, 162)
benign (61), (0, 0, 396, 202)
benign (292), (0, 267, 167, 123)
benign (47), (535, 63, 120, 130)
benign (110), (102, 134, 285, 40)
benign (86), (225, 168, 358, 105)
benign (249), (45, 233, 84, 74)
benign (167), (257, 119, 94, 93)
benign (157), (307, 75, 120, 91)
benign (102), (250, 92, 193, 107)
benign (364), (159, 80, 126, 72)
benign (412), (403, 86, 319, 110)
benign (298), (0, 268, 106, 78)
benign (322), (203, 168, 117, 88)
benign (73), (173, 138, 240, 145)
benign (206), (208, 48, 133, 121)
benign (257), (76, 352, 134, 39)
benign (248), (133, 65, 95, 68)
benign (429), (332, 0, 90, 88)
benign (286), (103, 72, 347, 82)
benign (392), (155, 145, 365, 97)
benign (135), (202, 61, 135, 119)
benign (421), (68, 124, 262, 51)
benign (165), (414, 121, 143, 146)
benign (201), (71, 196, 193, 277)
benign (193), (441, 177, 132, 113)
benign (266), (148, 0, 102, 274)
benign (97), (227, 233, 238, 115)
benign (119), (0, 0, 71, 185)
benign (425), (297, 100, 116, 80)
benign (258), (189, 49, 108, 75)
benign (318), (268, 105, 93, 106)
benign (291), (155, 79, 89, 82)
benign (434), (141, 114, 271, 176)
benign (294), (0, 266, 326, 75)
benign (261), (142, 0, 145, 180)
benign (195), (131, 171, 396, 348)
benign (175), (218, 167, 128, 103)
benign (171), (284, 110, 117, 80)
benign (396), (117, 80, 177, 156)
benign (143), (214, 115, 133, 66)
benign (1), (273, 101, 119, 369)
benign (260), (311, 39, 118, 67)
benign (383), (234, 246, 157, 96)
benign (91), (145, 335, 514, 158)
benign (363), (218, 164, 166, 56)
benign (244), (284, 62, 126, 85)
benign (128), (149, 56, 116, 78)
benign (240), (90, 114, 123, 78)
benign (357), (177, 120, 191, 65)
benign (414), (439, 117, 192, 137)
benign (388), (304, 221, 201, 83)
benign (28), (449, 270, 141, 211)
benign (366), (91, 74, 318, 139)
benign (361), (240, 125, 156, 146)
benign (353), (188, 129, 152, 99)
benign (420), (321, 169, 269, 125)
benign (134), (61, 0, 213, 254)
benign (246), (417, 135, 108, 50)
benign (269), (0, 266, 119, 123)
benign (35), (67, 101, 99, 99)
benign (233), (0, 0, 482, 277)
benign (196), (0, 0, 530, 501)
benign (393), (167, 0, 132, 115)
benign (48), (226, 158, 185, 197)
benign (211), (286, 110, 115, 78)
benign (213), (287, 82, 113, 132)
benign (85), (152, 0, 180, 197)
benign (95), (57, 100, 114, 88)
benign (60), (62, 85, 417, 512)
benign (344), (161, 40, 148, 57)
benign (105), (406, 146, 173, 115)
benign (354), (143, 133, 289, 144)
benign (94), (0, 0, 346, 186)
benign (315), (288, 64, 114, 64)
benign (148), (170, 96, 141, 68)
benign (136), (206, 161, 153, 104)
benign (389), (159, 174, 482, 253)
benign (156), (406, 147, 180, 111)
benign (386), (0, 0, 530, 212)
benign (203), (56, 400, 112, 70)
benign (397), (51, 141, 267, 328)
benign (215), (374, 0, 81, 103)
benign (265), (321, 54, 104, 66)
benign (187), (192, 131, 195, 98)
benign (140), (157, 162, 198, 188)
benign (107), (367, 213, 120, 148)
benign (184), (77, 93, 166, 74)
benign (381), (221, 98, 207, 105)
benign (238), (99, 101, 127, 177)
benign (79), (197, 57, 192, 86)
benign (297), (219, 40, 68, 97)
benign (433), (166, 60, 106, 98)
benign (373), (145, 132, 125, 85)
benign (188), (182, 167, 381, 310)
benign (264), (221, 64, 119, 77)
benign (154), (250, 107, 121, 75)
benign (207), (48, 380, 91, 100)
benign (204), (46, 76, 144, 291)
benign (217), (388, 0, 98, 109)
benign (29), (60, 126, 154, 63)
benign (121), (243, 76, 165, 82)
benign (262), (48, 236, 121, 63)
benign (234), (0, 0, 349, 173)
benign (387), (167, 142, 213, 84)
benign (155), (179, 172, 201, 246)
benign (331), (493, 146, 201, 82)
benign (342), (235, 104, 345, 326)
benign (399), (164, 138, 225, 88)
benign (323), (302, 110, 135, 81)
benign (33), (88, 81, 112, 79)
benign (301), (83, 59, 379, 116)
benign (227), (173, 223, 173, 244)
benign (351), (305, 222, 93, 90)
benign (390), (397, 147, 186, 79)
benign (422), (172, 262, 181, 72)
benign (99), (308, 81, 123, 91)
benign (321), (75, 122, 288, 58)
benign (401), (79, 87, 235, 381)
benign (16), (292, 115, 135, 79)
benign (394), (93, 76, 275, 197)
benign (435), (139, 59, 158, 71)
benign (172), (118, 116, 128, 120)
benign (289), (44, 332, 88, 60)
benign (337), (327, 52, 105, 104)
benign (426), (0, 0, 463, 160)
benign (87), (None, None, None, None)
benign (38), (307, 79, 82, 87)
benign (343), (132, 128, 221, 91)
benign (122), (0, 0, 69, 166)
benign (41), (148, 234, 81, 109)
benign (432), (136, 114, 185, 72)
benign (229), (238, 137, 157, 145)
benign (93), (52, 66, 282, 97)
benign (178), (336, 241, 180, 153)
benign (319), (130, 212, 134, 77)
benign (423), (276, 0, 194, 106)
benign (268), (277, 0, 138, 84)
benign (141), (0, 44, 88, 88)
benign (336), (366, 87, 133, 111)
benign (142), (246, 114, 120, 137)
benign (326), (131, 114, 298, 194)
benign (295), (132, 155, 144, 67)
benign (350), (426, 177, 218, 186)
benign (132), (301, 85, 91, 83)
benign (391), (101, 69, 148, 187)
benign (68), (292, 235, 283, 118)
benign (384), (313, 70, 203, 72)
benign (71), (191, 111, 137, 74)
benign (108), (0, 37, 115, 119)
benign (55), (213, 205, 193, 95)
benign (225), (100, 372, 90, 100)
benign (379), (0, 0, 255, 59)
benign (306), (101, 42, 83, 80)
benign (43), (266, 36, 87, 185)
benign (290), (130, 84, 134, 71)
benign (230), (95, 52, 241, 168)
benign (144), (196, 73, 108, 147)
benign (356), (287, 0, 130, 119)
benign (194), (527, 107, 134, 109)
benign (64), (182, 59, 171, 95)
benign (328), (335, 97, 162, 106)
benign (235), (0, 315, 340, 102)
benign (311), (48, 89, 329, 88)
benign (228), (79, 56, 134, 69)
benign (252), (126, 57, 219, 131)
benign (131), (0, 71, 133, 74)
benign (106), (185, 176, 175, 141)
benign (362), (151, 408, 132, 55)
benign (4), (71, 117, 286, 63)
benign (76), (198, 165, 143, 150)
benign (5), (193, 178, 124, 93)
benign (255), (102, 72, 106, 77)
benign (272), (141, 160, 209, 75)
benign (256), (35, 308, 94, 86)
benign (21), (244, 108, 124, 73)
benign (410), (123, 368, 84, 99)
benign (424), (266, 103, 138, 263)
benign (123), (319, 152, 189, 74)
benign (42), (0, 60, 258, 90)
benign (72), (130, 123, 109, 116)
benign (370), (164, 64, 212, 138)
benign (254), (235, 93, 110, 54)
benign (287), (154, 0, 82, 89)
benign (77), (289, 124, 115, 120)
benign (177), (53, 101, 124, 90)
benign (303), (176, 50, 104, 91)
benign (158), (123, 139, 271, 130)
benign (138), (57, 88, 404, 511)
benign (279), (170, 0, 99, 100)
benign (162), (44, 127, 130, 95)
benign (282), (58, 65, 282, 293)
benign (411), (412, 145, 189, 60)
benign (159), (479, 139, 165, 90)
benign (13), (190, 162, 318, 120)
benign (173), (75, 91, 436, 97)
benign (27), (359, 95, 140, 127)
benign (236), (0, 0, 141, 115)
benign (223), (74, 416, 158, 48)
benign (46), (211, 113, 114, 83)
benign (19), (412, 149, 158, 264)
malignant (6), (129, 203, 120, 70)
malignant (89), (196, 153, 527, 76)
malignant (143), (155, 133, 127, 333)
malignant (70), (0, 0, 230, 149)
malignant (79), (88, 74, 179, 85)
malignant (25), (145, 119, 245, 91)
malignant (71), (71, 0, 456, 222)
malignant (57), (343, 118, 373, 184)
malignant (136), (79, 0, 52, 78)
malignant (149), (0, 214, 178, 116)
malignant (76), (0, 0, 157, 60)
malignant (207), (97, 102, 199, 219)
malignant (145), (166, 60, 106, 98)
malignant (118), (273, 114, 161, 154)
malignant (29), (133, 115, 192, 151)
malignant (163), (108, 35, 423, 152)
malignant (45), (0, 0, 354, 292)
malignant (186), (234, 0, 178, 130)
malignant (147), (0, 0, 335, 226)
malignant (99), (0, 0, 410, 350)
malignant (87), (303, 86, 190, 89)
malignant (203), (155, 70, 205, 134)
malignant (20), (152, 144, 243, 132)
malignant (209), (116, 110, 127, 64)
malignant (197), (151, 132, 400, 207)
malignant (175), (195, 77, 157, 84)
malignant (82), (159, 116, 205, 53)
malignant (131), (442, 172, 88, 105)
malignant (168), (199, 104, 199, 72)
malignant (96), (196, 141, 216, 145)
malignant (113), (0, 0, 202, 154)
malignant (193), (260, 105, 165, 127)
malignant (141), (284, 78, 124, 100)
malignant (169), (166, 121, 318, 104)
malignant (50), (243, 56, 180, 65)
malignant (161), (272, 0, 213, 57)
malignant (67), (301, 113, 197, 234)
malignant (83), (198, 170, 193, 125)
malignant (121), (306, 83, 102, 81)
malignant (126), (177, 127, 170, 71)
malignant (78), (0, 0, 111, 138)
malignant (170), (58, 68, 384, 152)
malignant (18), (412, 76, 166, 75)
malignant (56), (322, 0, 172, 255)
malignant (173), (0, 79, 195, 78)
malignant (137), (104, 45, 68, 64)
malignant (109), (84, 71, 108, 80)
malignant (201), (0, 495, 142, 80)
malignant (55), (0, 139, 238, 84)
malignant (85), (350, 136, 205, 142)
malignant (17), (296, 164, 156, 106)
malignant (192), (0, 0, 309, 276)
malignant (148), (0, 126, 125, 223)
malignant (181), (152, 87, 205, 68)
malignant (35), (141, 42, 109, 89)
malignant (93), (165, 136, 244, 101)
malignant (22), (249, 134, 158, 74)
malignant (13), (79, 63, 91, 108)
malignant (7), (121, 174, 90, 82)
malignant (105), (0, 0, 576, 101)
malignant (210), (225, 222, 336, 194)
malignant (101), (383, 164, 239, 222)
malignant (140), (161, 0, 204, 206)
malignant (117), (120, 59, 109, 102)
malignant (202), (148, 70, 106, 177)
malignant (36), (192, 111, 223, 109)
malignant (31), (0, 84, 164, 201)
malignant (160), (188, 157, 437, 140)
malignant (33), (244, 90, 118, 195)
malignant (102), (255, 165, 298, 170)
malignant (14), (73, 60, 119, 95)
malignant (125), (292, 74, 73, 138)
malignant (77), (0, 0, 563, 229)
malignant (16), (0, 0, 364, 80)
malignant (106), (0, 0, 148, 58)
malignant (107), (0, 33, 408, 234)
malignant (100), (104, 83, 219, 71)
malignant (200), (239, 138, 80, 110)
malignant (162), (173, 90, 373, 252)
malignant (2), (54, 146, 331, 238)
malignant (176), (0, 0, 210, 340)
malignant (120), (234, 131, 183, 154)
malignant (180), (0, 357, 71, 103)
malignant (178), (45, 130, 134, 89)
malignant (49), (250, 73, 130, 95)
malignant (12), (0, 0, 261, 391)
malignant (177), (308, 107, 192, 79)
malignant (152), (344, 51, 128, 222)
malignant (40), (0, 125, 394, 156)
malignant (124), (205, 62, 127, 71)
malignant (80), (0, 0, 642, 256)
malignant (4), (110, 177, 112, 59)
malignant (144), (151, 118, 177, 164)
malignant (38), (422, 167, 166, 119)
malignant (115), (311, 61, 101, 89)
malignant (116), (424, 79, 157, 74)
malignant (90), (223, 100, 246, 394)
malignant (9), (118, 149, 92, 97)
malignant (53), (251, 66, 158, 92)
malignant (199), (82, 130, 220, 144)
malignant (158), (187, 0, 125, 41)
malignant (157), (39, 127, 226, 48)
malignant (69), (0, 0, 404, 205)
malignant (44), (301, 83, 283, 141)
malignant (72), (151, 86, 190, 121)
malignant (43), (0, 0, 542, 255)
malignant (27), (363, 119, 141, 67)
malignant (112), (250, 0, 99, 115)
malignant (196), (157, 81, 173, 76)
malignant (3), (103, 184, 118, 76)
malignant (182), (0, 493, 124, 89)
malignant (127), (0, 0, 213, 166)
malignant (111), (0, 119, 261, 92)
malignant (92), (255, 153, 127, 96)
malignant (142), (180, 151, 111, 87)
malignant (1), (96, 162, 214, 183)
malignant (75), (117, 55, 195, 93)
malignant (128), (252, 58, 141, 78)
malignant (74), (160, 73, 111, 93)
malignant (123), (93, 74, 137, 92)
malignant (88), (317, 109, 130, 156)
malignant (5), (108, 180, 135, 89)
malignant (114), (98, 66, 154, 136)
malignant (129), (0, 60, 350, 214)
malignant (139), (151, 71, 140, 330)
malignant (189), (194, 0, 133, 35)
malignant (91), (149, 89, 400, 105)
malignant (174), (181, 50, 211, 121)
malignant (187), (140, 160, 131, 109)
malignant (41), (74, 125, 332, 82)
malignant (151), (316, 130, 196, 91)
malignant (122), (161, 175, 251, 99)
malignant (54), (222, 96, 155, 89)
malignant (183), (169, 85, 232, 168)
malignant (155), (213, 75, 112, 84)
malignant (103), (238, 87, 84, 140)
malignant (61), (0, 111, 284, 219)
malignant (63), (296, 108, 248, 100)
malignant (194), (603, 149, 158, 236)
malignant (84), (333, 190, 115, 127)
malignant (73), (82, 68, 123, 102)
malignant (59), (0, 203, 303, 118)
malignant (198), (193, 109, 233, 103)
malignant (97), (0, 0, 263, 253)
malignant (23), (83, 126, 170, 82)
malignant (185), (168, 135, 314, 197)
malignant (167), (192, 162, 164, 167)
malignant (58), (198, 160, 408, 93)
malignant (28), (380, 118, 142, 94)
malignant (66), (172, 181, 153, 101)
malignant (65), (259, 198, 200, 94)
malignant (98), (0, 0, 150, 83)
malignant (34), (244, 162, 129, 95)
malignant (21), (142, 0, 73, 153)
malignant (24), (161, 125, 233, 143)
malignant (132), (0, 142, 396, 132)
malignant (94), (157, 0, 406, 230)
malignant (206), (168, 130, 249, 74)
malignant (190), (279, 74, 72, 114)
malignant (110), (168, 235, 180, 234)
malignant (153), (196, 110, 261, 103)
