file name: (x, y, w, h)
benign (411), (74, 51, 516, 304)
benign (159), (530, 128, 145, 107)
benign (13), (188, 111, 105, 167)
benign (173), (48, 53, 485, 179)
benign (27), (345, 87, 157, 139)
benign (236), (13, 28, 498, 334)
benign (223), (97, 89, 115, 357)
benign (46), (82, 93, 274, 169)
benign (19), (362, 187, 190, 224)
malignant (6), (131, 158, 163, 78)
malignant (89), (74, 79, 563, 128)
malignant (143), (54, 126, 458, 321)
malignant (70), (191, 72, 160, 143)
malignant (79), (49, 78, 390, 91)
malignant (25), (67, 74, 267, 154)
malignant (71), (44, 131, 207, 63)
malignant (57), (468, 29, 194, 248)
malignant (136), (62, 41, 91, 63)
malignant (149), (32, 200, 494, 75)
malignant (76), (42, 38, 512, 100)
malignant (207), (152, 46, 158, 336)
malignant (145), (159, 48, 140, 120)
malignant (118), (191, 83, 283, 199)
malignant (29), (50, 83, 277, 98)
malignant (163), (116, 45, 451, 431)
malignant (45), (125, 138, 60, 50)
malignant (186), (208, 29, 323, 119)
malignant (147), (283, 101, 189, 49)
malignant (99), (78, 119, 416, 171)
malignant (87), (345, 51, 193, 167)
malignant (203), (149, 48, 389, 185)
malignant (20), (325, 143, 88, 61)
malignant (209), (104, 94, 80, 66)
malignant (197), (105, 142, 260, 105)
malignant (175), (206, 39, 212, 94)
malignant (82), (141, 79, 334, 84)
malignant (131), (416, 154, 164, 148)
malignant (168), (172, 93, 268, 83)
malignant (96), (122, 69, 181, 105)
malignant (113), (42, 92, 173, 137)
malignant (193), (256, 95, 179, 101)
malignant (141), (167, 80, 267, 68)
malignant (169), (61, 80, 421, 172)
malignant (50), (183, 35, 271, 130)
malignant (161), (105, 13, 432, 234)
malignant (67), (339, 110, 48, 13)
malignant (83), (236, 182, 246, 161)
malignant (121), (287, 63, 214, 122)
malignant (126), (120, 83, 250, 152)
malignant (78), (72, 31, 544, 258)
malignant (170), (33, 57, 474, 135)
malignant (18), (15, 40, 520, 89)
malignant (56), (374, 39, 255, 96)
malignant (173), (0, 84, 145, 68)
malignant (137), (22, 24, 170, 77)
malignant (109), (67, 76, 228, 61)
malignant (201), (183, 120, 383, 87)
malignant (55), (55, 88, 187, 98)
malignant (85), (296, 120, 168, 83)
malignant (17), (284, 89, 228, 85)
malignant (192), (43, 127, 248, 130)
malignant (148), (38, 94, 93, 248)
malignant (181), (185, 70, 305, 120)
malignant (35), (24, 30, 214, 166)
malignant (93), (153, 93, 94, 69)
malignant (22), (134, 53, 402, 205)
malignant (13), (63, 55, 190, 64)
malignant (7), (101, 144, 319, 88)
malignant (105), (445, 63, 132, 83)
malignant (210), (161, 230, 571, 167)
malignant (101), (533, 179, 118, 123)
malignant (140), (233, 22, 231, 397)
malignant (117), (83, 54, 231, 143)
malignant (202), (117, 11, 190, 126)
malignant (36), (19, 35, 469, 142)
malignant (31), (140, 53, 542, 248)
malignant (160), (197, 109, 341, 175)
malignant (33), (144, 68, 290, 114)
malignant (102), (259, 124, 252, 146)
malignant (14), (0, 34, 256, 195)
malignant (125), (247, 74, 147, 166)
malignant (77), (101, 30, 477, 295)
malignant (16), (80, 31, 349, 239)
malignant (106), (81, 30, 382, 221)
malignant (107), (224, 186, 148, 22)
malignant (100), (166, 75, 135, 55)
malignant (200), (185, 136, 207, 114)
malignant (162), (128, 55, 433, 99)
malignant (2), (51, 25, 473, 367)
malignant (176), (78, 39, 484, 133)
malignant (120), (202, 94, 362, 92)
malignant (180), (50, 163, 386, 95)
malignant (178), (39, 51, 239, 142)
malignant (49), (246, 64, 163, 123)
malignant (12), (150, 176, 156, 104)
malignant (177), (131, 82, 482, 83)
malignant (152), (402, 67, 51, 55)
malignant (40), (52, 67, 395, 102)
malignant (124), (120, 54, 326, 152)
malignant (80), (42, 92, 40, 121)
malignant (4), (52, 151, 332, 92)
malignant (144), (143, 75, 227, 95)
malignant (38), (353, 189, 89, 222)
malignant (115), (30, 27, 400, 116)
malignant (116), (10, 38, 464, 103)
malignant (90), (328, 150, 166, 103)
malignant (9), (115, 144, 287, 92)
malignant (53), (166, 43, 129, 50)
malignant (199), (170, 82, 182, 112)
malignant (158), (0, 0, 313, 289)
malignant (157), (24, 94, 276, 63)
malignant (69), (253, 93, 283, 57)
malignant (44), (252, 63, 272, 93)
malignant (72), (144, 99, 204, 104)
malignant (43), (63, 130, 372, 121)
malignant (27), (362, 95, 158, 124)
malignant (112), (164, 32, 367, 384)
malignant (196), (65, 33, 304, 151)
malignant (3), (65, 140, 222, 133)
malignant (182), (51, 183, 535, 162)
malignant (127), (236, 55, 249, 300)
malignant (111), (32, 96, 310, 334)
malignant (92), (225, 91, 206, 168)
malignant (142), (154, 149, 208, 128)
malignant (1), (66, 104, 281, 169)
malignant (75), (54, 12, 342, 168)
malignant (128), (61, 25, 462, 341)
malignant (74), (349, 50, 66, 6)
malignant (123), (0, 42, 321, 232)
malignant (88), (288, 83, 248, 100)
malignant (5), (100, 153, 290, 116)
malignant (114), (14, 21, 229, 246)
malignant (129), (160, 41, 308, 316)
malignant (139), (122, 29, 217, 351)
malignant (189), (333, 30, 100, 95)
malignant (91), (74, 81, 320, 209)
malignant (174), (77, 52, 518, 109)
malignant (187), (162, 105, 215, 125)
malignant (41), (81, 66, 484, 120)
malignant (151), (203, 75, 173, 159)
malignant (122), (66, 80, 388, 224)
malignant (54), (138, 70, 281, 170)
malignant (183), (136, 57, 396, 175)
malignant (155), (161, 44, 262, 112)
malignant (103), (129, 45, 196, 160)
malignant (61), (19, 90, 282, 251)
malignant (63), (252, 166, 311, 71)
malignant (194), (183, 115, 585, 133)
malignant (84), (284, 192, 175, 122)
malignant (73), (58, 68, 160, 79)
malignant (59), (479, 234, 49, 55)
malignant (198), (152, 97, 144, 111)
malignant (97), (118, 70, 199, 279)
malignant (23), (26, 116, 233, 83)
malignant (185), (152, 67, 311, 285)
malignant (167), (64, 137, 429, 233)
malignant (58), (253, 65, 386, 152)
malignant (28), (367, 95, 195, 111)
malignant (66), (168, 155, 359, 118)
malignant (65), (87, 130, 555, 143)
malignant (98), (64, 52, 635, 238)
malignant (34), (251, 111, 175, 158)
malignant (21), (39, 31, 562, 218)
malignant (24), (104, 88, 228, 149)
malignant (132), (29, 119, 377, 319)
malignant (94), (157, 65, 369, 220)
malignant (206), (60, 92, 336, 101)
malignant (190), (155, 66, 192, 90)
malignant (110), (178, 215, 188, 115)
malignant (153), (392, 66, 100, 88)
